R517,ENTERPRISE RANCHERIA,A
R518,FORT BIDWELL RESERVATION,A
R519,GRINDSTONE INDIAN RANCHERIA,A
R520,BENTON PAIUTE RANCHERIA,A
R521,HOPLAND RANCHERIA,A
R522,JACKSON RANCHERIA,A
R523,CHICKEN RANCH RANCHERIA,A
R524,LAYTONVILLE RANCHERIA,A
R525,FORT INDEPENDENCE RESERVATION,A
R527,MANCHESTER - POINT ARENA RANCHERIA,A
R528,MIDDLETOWN RANCHERIA,A
R529,IONE BAND OF MIWOK INDIANS OF CALIFORNIA,A
R530,BIG PINE RESERVATION,A
R531,"MECHOOPDA INDIAN TRIBE OF CHICO RANCHERIA, CALIFORNIA",A
R532,NORTHFORK RANCHERIA,A
R533,PASKENTA BAND OF NOMLAKI INDIANS OF CALIFORNIA,A
R534,PICAYUNE RANCHERIA,A
R535,PINOLEVILLE RANCHERIA,A
R537,POTTER VALLEY RANCHERIA,A
R538,REDDING RANCHERIA,A
R539,REDWOOD VALLEY RANCHERIA,A
R540,ROUND VALLEY RESERVATION,A
R541,RUMSEY RANCHERIA,A
R542,SANTA ROSA RANCHERIA,A
R545,GREENVILLE RANCHERIA,A
R546,SHINGLE SPRINGS RANCHERIA,A
R547,STEWARTS POINT RANCHERIA,A
R549,BISHOP COLONY,A
R550,SUSANVILLE RANCHERIA,A
R551,TABLE MOUNTAIN RANCHERIA,A
R553,TULE RIVER RESERVATION,A
R554,BIG LAGOON RANCHERIA,A
R555,KARUK TRIBE,A
R556,RESIGHINI RANCHERIA,A
R558,BLUE LAKE RANCHERIA,A
R559,ELK VALLEY RANCHERIA,A
R560,ROHNERVILLE RANCHERIA,A
R561,HOOPA RESERVATION,A
R562,YUROK RESERVATION,A
R563,QUARTZ VALLEY RANCHERIA,A
R564,SMITH RIVER RANCHERIA,A
R565,TABLE BLUFF RANCHERIA,A
R566,TRINIDAD RESERVATION,A
R567,AUGUSTINE RESERVATION,A
R568,CABAZON RESERVATION,A
R569,CAHUILLA RESERVATION,A
R570,CAMPO RESERVATION,A
R571,CAPITAN GRANDE RESERVATION,A
R572,BARONA RESERVATION,A
R573,CUYAPAIPE RESERVATION,A
R574,INAJA AND COSMIT RESERVATION,A
R575,JAMUL INDIAN VILLAGE,A
R576,LA JOLLA RESERVATION,A
R577,LA POSTA RESERVATION,A
R578,LOS COYOTES RESERVATION,A
R579,MANZANITA RESERVATION,A
R580,MESA GRANDE RESERVATION,A
R582,MORONGO RESERVATON,A
R583,PALA RESERVATION,A
R584,AGUA CALIENTE RESERVATION,A
R585,PAUMA AND YUIMA RESERVATION,A
R586,PECHANGA RESERVATION,A
R587,RINCON RESERVATION,A
R588,SAN MANUAL RESERVATION,A
R589,SAN PASQUAL RESERVATION,A
R590,SANTA ROSA RESERVATION,A
R591,SANTA YNEZ RESERVATION,A
R592,SANTA YSABEL RESERVATION,A
R593,SOBOBA RESERVATION,A
R594,SYCUAN RESERVATION,A
R595,TORRES-MARTINEZ RESERVATION,A
R597,RAMONA RESERVATION,A
R598,TWENTY-NINE PALMS RESERVATION,A
R599,VIEJAS RESERVATION,A
R601,CAMP VERDE RESERVATION,A
R602,COCOPAH RESERVATION,A
R603,COLORADO RIVER RESERVATION,A
R604,FORT MOJAVE RESERVATION,A
R605,HAVASUPAI RESERVATION,A
R606,HUALAPAI RESERVATION,A
R607,FORT APACHE RESERVATION,A
R608,HOPI RESERVATION,A
R609,GILA BEND RESERVATION,A
R610,TOHONO O'ODHAM RESERVATION,A
R611,SAN XAVIER RESERVATION,A
R612,MARICOPA (AK-CHIN) RESERVATION,A
R613,FORT MCDOWELL RESERVATION,A
R614,GILA RIVER RESERVATION,A
R615,SALT RIVER RESERVATION,A
R616,SAN CARLOS RESERVATION,A
R617,KAIBOB RESERVATION (KAIBOB PAIUTE TRIBAL COUNCIL),A
R618,YAVAPAI RESERVATION,A
R621,CEDARVILLE RANCHERIA,A
R624,LONE PINE RESERVATION,A
R626,MOORETOWN RANCHERIA,A
R628,SHEEP RANCH RANCHERIA,A
R629,SHERWOOD VALLEY RANCHERIA,A
R632,SULPHUR BANK RANCHERIA,A
R634,TUOLUMNE RANCHERIA,A
R636,UPPER LAKE RANCHERIA,A
R637,UNITED AUBURN INDIAN COMMUNITY OF THE AUBURN RANCHERIA OF CA,A
R638,COYOTE VALLEY RANCHERIA,A
R641,DUCK VALLEY RESERVATION,A
R642,DUCKWATER RESERVATION,A
R644,ELY COLONY,A
R645,FALLON COLONY,A
R646,FORT MCDERMITT RESERVATION,A
R648,LAS VEGAS COLONY,A
R649,LOVELOCK INDIAN COLONY,A
R650,MOAPA RIVER RESERVATION,A
R651,PYRAMID LAKE RESERVATION,A
R653,RENO-SPARKS COLONY,A
R655,SUMMIT LAKE RESERVATION,A
R656,WALKER RIVER RESERVATION,A
R657,WINNEMUCCA COLONY,A
R660,YERINGTION RESERVATION,A
R661,YOMBA RESERVATION,A
R665,PASCUA YAQUI RESERVATION,A
R672,WASHOE TRIBE OF NEVADA AND CALIFORNIA - ALLOTMENTS,A
R674,TONTO APACHE RESERVATION,A
R681,GOSHUTE RESERVATION,A
