UT,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)"
CA,Bishop Paiute Tribe
NV,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada"
CA,Lone Pine Paiute-Shoshone Tribe
CA,Pala Band of Mission Indians
VA,Pamunkey Indian Tribe
AZ,Pascua Yaqui Tribe of Arizona
CA,Paskenta Band of Nomlaki Indians of California
ME,Passamaquoddy Tribe
CA,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California"
OK,Pawnee Nation of Oklahoma
CA,"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California"
ME,Penobscot Nation
OK,Peoria Tribe of Indians of Oklahoma
CA,Picayune Rancheria of Chukchansi Indians of California
CA,"Pinoleville Pomo Nation, California"
CA,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek and Roaring Creek Rancherias)"
AL,Poarch Band of Creeks
MI,"Pokagon Band of Potawatomi Indians, Michigan and Indiana"
OK,Ponca Tribe of Indians of Oklahoma
NE,Ponca Tribe of Nebraska
WA,Port Gamble S'Klallam Tribe
CA,"Potter Valley Tribe, California"
KS,Prairie Band Potawatomi Nation
MN,Prairie Island Indian Community in the State of Minnesota
NM,"Pueblo of Acoma, New Mexico"
NM,"Pueblo of Cochiti, New Mexico"
NM,"Pueblo of Jemez, New Mexico"
NM,"Pueblo of Isleta, New Mexico"
NM,"Pueblo of Laguna, New Mexico"
NM,"Pueblo of Nambe, New Mexico"
NM,"Pueblo of Picuris, New Mexico"
NM,"Pueblo of Pojoaque, New Mexico"
NM,"Pueblo of San Felipe, New Mexico"
NM,"Pueblo of San Ildefonso, New Mexico"
NM,"Pueblo of Sandia, New Mexico"
NM,"Pueblo of Santa Ana, New Mexico"
NM,"Pueblo of Santa Clara, New Mexico"
NM,"Pueblo of Taos, New Mexico"
NM,"Pueblo of Tesuque, New Mexico"
NM,"Pueblo of Zia, New Mexico"
WA,Puyallup Tribe of the Puyallup Reservation
NV,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada"
OK,The Quapaw Tribe of Indians
CA,Quartz Valley Indian Community of the Quartz Valley Reservation of California
AZ,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona"
WA,Quileute Tribe of the Quileute Reservation
WA,Quinault Indian Nation
CA,"Ramona Band of Cahuilla, California"
WI,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin
MN,"Red Lake Band of Chippewa Indians, Minnesota"
CA,"Redding Rancheria, California"
CA,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California
NV,"Reno-Sparks Indian Colony, Nevada"
CA,"Resighini Rancheria, California"
CA,"Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California"
CA,Robinson Rancheria
SD,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota"
CA,"Round Valley Indian Tribes, Round Valley Reservation, California"
IA,Sac & Fox Tribe of the Mississippi in Iowa
KS,Sac & Fox Nation of Missouri in Kansas and Nebraska
OK,"Sac & Fox Nation, Oklahoma"
MI,Saginaw Chippewa Indian Tribe of Michigan
WI,St. Croix Chippewa Indians of Wisconsin
NY,Saint Regis Mohawk Tribe
AZ,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona"
WA,Samish Indian Nation
AZ,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona"
AZ,San Juan Southern Paiute Tribe of Arizona
CA,"San Manuel Band of Mission Indians, California"
CA,San Pasqual Band of Diegueno Mission Indians of California
CA,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California"
CA,"Santa Rosa Band of Cahuilla Indians, California"
CA,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California"
NE,"Santee Sioux Nation, Nebraska"
WA,Sauk-Suiattle Indian Tribe
MI,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan"
CA,Scotts Valley Band of Pomo Indians of California
OK,The Seminole Nation of Oklahoma
FL,Seminole Tribe of Florida
NY,Seneca Nation of Indians
OK,Seneca-Cayuga Nation
MN,Shakopee Mdewakanton Sioux Community of Minnesota
OK,Shawnee Tribe
CA,Sherwood Valley Rancheria of Pomo Indians of California
CA,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California"
NY,Shinnecock Indian Nation
WA,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation
WY,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming"
ID,Shoshone-Bannock Tribes of the Fort Hall Reservation
NV,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada"
SD,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota"
WA,Skokomish Indian Tribe
UT,Skull Valley Band of Goshute Indians of Utah
