"POLLUTANT_CODE","POLLUTANT_DESC","SRS_ID","POLLUTANT_CATEGORY_CODE","CHEMICAL_FORMULA","CHEMICAL_ABSTRACT_SERVICE_NMBR","USER_FLAG","USER_ID","STATUS_FLAG","EPA_ID","CREATED_BY","CREATED_DATE","UPDATED_BY","UPDATED_DATE","SRS_SYSTEMATIC_NAME"
493,"AS","P1CONV","","","7440382","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"AS"
2583,"METHYLETHYL KETONE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"METHYLETHYL KETONE"
2585,"METHYLMERCAPTON","P1CONV","","","74931","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"METHYLMERCAPTON"
2586,"METHYLMETHACRYLATE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"METHYLMETHACRYLATE"
2587,"METHYLPYRENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"METHYLPYRENE"
2590,"METOLACHLOR","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"METOLACHLOR"
2591,"MEYTHL METHCRYLATE","P1CONV","","","80626","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"MEYTHL METHCRYLATE"
2592,"MFC-134A","P1CONV","","","811972","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"MFC-134A"
2593,"MFL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MFL"
2595,"MFT","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MFT"
2596,"MG","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"MG"
2599,"MIBK","P1CONV","","","108101","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_5162",04-MAY-07,"MIBK"
2602,"MIBK  [<500 LBS]","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"MIBK  [<500 LBS]"
